cpu_name;cores;cpu_mark;thread_mark;tdp;socket;category
AArch64;4;831;368;-1;Unknown;Mobile/Embedded
AArch64 rev 2 (aarch64);8;2327;893;-1;Unknown;Unknown
AArch64 rev 4 (aarch64);8;1813;588;-1;Unknown;Unknown
AC8257V/WAB;8;788;485;-1;Unknown;Unknown
Allwinner A133;4;696;413;-1;Unknown;Mobile/Embedded
Allwinner A523;8;1898;589;-1;Unknown;Mobile/Embedded
Allwinner A527;8;2297;678;-1;Unknown;Mobile/Embedded
Allwinner H618;4;616;391;-1;Unknown;Mobile/Embedded
AMD 3015Ce;2;2094;1341;6;FT5;Mobile/Embedded
AMD 3015e;2;2713;1362;6;Unknown;Laptop
AMD 3020e;2;2449;1415;6;Unknown;Laptop
AMD 4700S;8;18104;2396;-1;Unknown;Desktop
AMD A10 Micro-6700T APU;4;1426;722;5;FT3b;Laptop
AMD A10 PRO-7350B APU;4;1937;914;19;FP3;Laptop
AMD A10 PRO-7800B APU;2;3364;1512;65;FM2+;Desktop
AMD A10 PRO-7850B APU;2;3453;1572;95;FM2+;Desktop
AMD A10-4600M APU;2;1927;1073;35;FS1r2;Laptop
AMD A10-4655M APU;2;1655;912;25;FP2;Laptop
AMD A10-4657M APU;4;1759;940;35;FP2;Laptop
AMD A10-5700 APU;2;2727;1426;65;FM2;Desktop
AMD A10-5745M APU;4;1779;961;25;FP2;Laptop
AMD A10-5750M APU;4;2007;1147;35;FS1r2;Laptop
AMD A10-5757M APU;4;1932;1097;35;FP2;Laptop
AMD A10-5800B APU;2;3034;1579;100;FM2;Desktop
AMD A10-5800K APU;2;2957;1491;100;FM2;Desktop
AMD A10-6700 APU;4;3115;1606;65;FM2;Desktop
AMD A10-6700T APU;2;2299;1290;45;FM2;Desktop
AMD A10-6790K APU;2;3070;1553;100;FM2;Desktop
AMD A10-6800B APU;2;3088;1650;100;FM2;Desktop
AMD A10-6800K APU;2;3220;1606;100;FM2;Desktop
AMD A10-7300 APU;4;1747;863;19;FP3;Laptop
AMD A10-7400P;4;2078;1033;35;FP3;Laptop
